" Landtagswahl 2003 - Stimmen - 28.09.2003",,,,"(Stand 29.09.2003 17:09)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Nr.","Name","Wahlbe-","abgegeb.","Wahlbet.","ungültige",,"gültige",,"ÖVP",,"SPÖ",,"FPÖ",,"GRÜNE",,"KPÖ",,"erste Eingabe",,"letzte Eingabe",
41814,"Offenhausen                   ",1062,885,83.33,20,2.26,865,97.74,417,48.21,222,25.66,163,18.84,60,6.94,3,0.35,"28.09.03",0.68,"28.09.03",0.68
41815,"Pennewang                     ",640,538,84.06,9,1.67,529,98.33,328,62,93,17.58,53,10.02,50,9.45,5,0.95,"28.09.03",0.61,"28.09.03",0.61
41816,"Pichl bei Wels                ",1981,1678,84.7,52,3.1,1626,96.9,802,49.32,484,29.77,183,11.25,151,9.29,6,0.37,"28.09.03",0.71,"28.09.03",0.71
41817,"Sattledt                      ",1616,1400,86.63,31,2.21,1369,97.79,727,53.1,439,32.07,139,10.15,57,4.16,7,0.51,"28.09.03",0.67,"28.09.03",0.67
41818,"Schleißheim                   ",749,614,81.98,20,3.26,594,96.74,257,43.27,197,33.16,54,9.09,76,12.79,10,1.68,"28.09.03",0.7,"28.09.03",0.7
41819,"Sipbachzell                   ",1276,1055,82.68,31,2.94,1024,97.06,575,56.15,262,25.59,115,11.23,63,6.15,9,0.88,"28.09.03",0.74,"28.09.03",0.74
41820,"Stadl-Paura                   ",3447,2569,74.53,72,2.8,2497,97.2,676,27.07,1294,51.82,252,10.09,250,10.01,25,1,"28.09.03",0.67,"28.09.03",0.67
41821,"Steinerkirchen an der Traun   ",1613,1370,84.93,24,1.75,1346,98.25,863,64.12,254,18.87,137,10.18,89,6.61,3,0.22,"28.09.03",0.66,"28.09.03",0.66
41822,"Steinhaus                     ",1429,1291,90.34,33,2.56,1258,97.44,519,41.26,345,27.42,286,22.73,107,8.51,1,0.08,"28.09.03",0.7,"28.09.03",0.7
41823,"Thalheim bei Wels             ",3750,3025,80.67,52,1.72,2973,98.28,1266,42.58,1007,33.87,276,9.28,405,13.62,19,0.64,"28.09.03",0.69,"28.09.03",0.69
41824,"Weißkirchen an der Traun      ",1990,1671,83.97,29,1.74,1642,98.26,728,44.34,684,41.66,97,5.91,126,7.67,7,0.43,"28.09.03",0.69,"28.09.03",0.69
